cellline,concentration,viability
A2058,-3.853871964321762,0.98
A2058,-3.3979400086720375,0.09
A2058,-2.9208187539523753,0.933
A2058,-2.431798275933005,0.704
A2058,-1.958607314841775,0.202
A2058,-1.4685210829577449,0.176
A2058,-1.0,0.055
A2058,-0.5228787452803376,0.018
A2058,-3.853871964321762,1.103
A2058,-3.3979400086720375,0.219
A2058,-2.9208187539523753,1.017
A2058,-2.431798275933005,0.138
A2058,-1.958607314841775,0.241
A2058,-1.4685210829577449,0.168
A2058,-1.0,0.057
A2058,-0.5228787452803376,0.014
A2058,-3.853871964321762,0.927
A2058,-3.3979400086720375,1.001
A2058,-2.9208187539523753,0.971
A2058,-2.431798275933005,0.622
A2058,-1.958607314841775,0.164
A2058,-1.4685210829577449,0.173
A2058,-1.0,0.06
A2058,-0.5228787452803376,0.013
A2058,-3.853871964321762,1.012
A2058,-3.3979400086720375,1.107
A2058,-2.9208187539523753,0.214
A2058,-2.431798275933005,0.956
A2058,-1.958607314841775,0.204
A2058,-1.4685210829577449,0.157
A2058,-1.0,0.054
A2058,-0.5228787452803376,0.008
A2058,-3.853871964321762,0.986
A2058,-3.3979400086720375,1.043
A2058,-2.9208187539523753,0.931
A2058,-2.431798275933005,0.751
A2058,-1.958607314841775,0.107
A2058,-1.4685210829577449,0.138
A2058,-1.0,0.024
A2058,-0.5228787452803376,0.011
A2058,-3.853871964321762,1.113
A2058,-3.3979400086720375,1.156
A2058,-2.9208187539523753,1.033
A2058,-2.431798275933005,0.989
A2058,-1.958607314841775,0.12
A2058,-1.4685210829577449,0.219
A2058,-1.0,0.02
A2058,-0.5228787452803376,0.021
A2780,-3.853871964321762,1.038
A2780,-3.3979400086720375,0.909
A2780,-2.9208187539523753,0.934
A2780,-2.431798275933005,0.011
A2780,-1.958607314841775,0.387
A2780,-1.4685210829577449,0.154
A2780,-1.0,0.11
A2780,-0.5228787452803376,0.032
A2780,-3.853871964321762,1.002
A2780,-3.3979400086720375,1.083
A2780,-2.9208187539523753,1.036
A2780,-2.431798275933005,1.089
A2780,-1.958607314841775,0.894
A2780,-1.4685210829577449,0.302
A2780,-1.0,0.195
A2780,-0.5228787452803376,0.031
A2780,-3.853871964321762,0.953
A2780,-3.3979400086720375,0.911
A2780,-2.9208187539523753,1.022
A2780,-2.431798275933005,0.769
A2780,-1.958607314841775,0.27
A2780,-1.4685210829577449,0.174
A2780,-1.0,0.093
A2780,-0.5228787452803376,0.019
A2780,-3.853871964321762,1.112
A2780,-3.3979400086720375,1.19
A2780,-2.9208187539523753,1.092
A2780,-2.431798275933005,1.063
A2780,-1.958607314841775,0.578
A2780,-1.4685210829577449,0.258
A2780,-1.0,0.123
A2780,-0.5228787452803376,0.013
A2780,-3.853871964321762,0.978
A2780,-3.3979400086720375,0.882
A2780,-2.9208187539523753,0.979
A2780,-2.431798275933005,0.81
A2780,-1.958607314841775,0.313
A2780,-1.4685210829577449,0.166
A2780,-1.0,0.1
A2780,-0.5228787452803376,0.024
A2780,-3.853871964321762,0.974
A2780,-3.3979400086720375,1.187
A2780,-2.9208187539523753,1.085
A2780,-2.431798275933005,1.076
A2780,-1.958607314841775,0.356
A2780,-1.4685210829577449,0.178
A2780,-1.0,0.005
A2780,-0.5228787452803376,1.103
A2780,-3.853871964321762,1.024
A2780,-3.3979400086720375,1.101
A2780,-2.9208187539523753,0.957
A2780,-2.431798275933005,0.584
A2780,-1.958607314841775,0.286
A2780,-1.4685210829577449,0.143
A2780,-1.0,0.075
A2780,-0.5228787452803376,0.016
A2780,-3.853871964321762,1.064
A2780,-3.3979400086720375,0.065
A2780,-2.9208187539523753,1.018
A2780,-2.431798275933005,0.907
A2780,-1.958607314841775,0.264
A2780,-1.4685210829577449,0.173
A2780,-1.0,0.078
A2780,-0.5228787452803376,0.039
A2780,-3.853871964321762,0.98
A2780,-3.3979400086720375,1.047
A2780,-2.9208187539523753,0.948
A2780,-2.431798275933005,0.808
A2780,-1.958607314841775,0.26
A2780,-1.4685210829577449,0.146
A2780,-1.0,0.065
A2780,-0.5228787452803376,0.036
A375,-3.853871964321762,0.922
A375,-3.3979400086720375,0.876
A375,-2.9208187539523753,0.93
A375,-2.431798275933005,0.893
A375,-1.958607314841775,0.801
A375,-1.4685210829577449,0.457
A375,-1.0,0.344
A375,-0.5228787452803376,0.047
A375,-3.853871964321762,0.873
A375,-3.3979400086720375,0.842
A375,-2.9208187539523753,0.915
A375,-2.431798275933005,0.824
A375,-1.958607314841775,0.857
A375,-1.4685210829577449,0.47
A375,-1.0,0.345
A375,-0.5228787452803376,0.037
A375,-3.853871964321762,0.715
A375,-3.3979400086720375,0.86
A375,-2.9208187539523753,0.844
A375,-2.431798275933005,0.836
A375,-1.958607314841775,0.815
A375,-1.4685210829577449,0.446
A375,-1.0,0.296
A375,-0.5228787452803376,0.045
A375,-3.853871964321762,1.016
A375,-3.3979400086720375,1.023
A375,-2.9208187539523753,0.821
A375,-2.431798275933005,0.972
A375,-1.958607314841775,0.743
A375,-1.4685210829577449,0.435
A375,-1.0,0.298
A375,-0.5228787452803376,0.018
A375,-3.853871964321762,0.839
A375,-3.3979400086720375,1.08
A375,-2.9208187539523753,0.863
A375,-2.431798275933005,0.887
A375,-1.958607314841775,0.777
A375,-1.4685210829577449,0.459
A375,-1.0,0.258
A375,-0.5228787452803376,0.036
A375,-3.853871964321762,1.064
A375,-3.3979400086720375,1.116
A375,-2.9208187539523753,1.044
A375,-2.431798275933005,1.139
A375,-1.958607314841775,0.627
A375,-1.4685210829577449,0.412
A375,-1.0,0.206
A375,-0.5228787452803376,0.068
A375,-3.853871964321762,0.796
A375,-3.3979400086720375,1.038
A375,-2.9208187539523753,0.79
A375,-2.431798275933005,0.936
A375,-1.958607314841775,0.731
A375,-1.4685210829577449,0.452
A375,-1.0,0.228
A375,-0.5228787452803376,0.04
A375,-3.853871964321762,1.007
A375,-3.3979400086720375,1.096
A375,-2.9208187539523753,1.11
A375,-2.431798275933005,1.088
A375,-1.958607314841775,0.633
A375,-1.4685210829577449,0.432
A375,-1.0,0.201
A375,-0.5228787452803376,0.075
A375,-3.853871964321762,1.031
A375,-3.3979400086720375,1.038
A375,-2.9208187539523753,1.018
A375,-2.431798275933005,1.033
A375,-1.958607314841775,0.694
A375,-1.4685210829577449,0.387
A375,-1.0,0.193
A375,-0.5228787452803376,0.089
A427,-3.853871964321762,0.915
A427,-3.3979400086720375,0.851
A427,-2.9208187539523753,0.994
A427,-2.431798275933005,0.475
A427,-1.958607314841775,0.594
A427,-1.4685210829577449,0.22
A427,-1.0,0.1
A427,-0.5228787452803376,0.004
A427,-3.853871964321762,0.94
A427,-3.3979400086720375,0.987
A427,-2.9208187539523753,1.029
A427,-2.431798275933005,0.986
A427,-1.958607314841775,0.762
A427,-1.4685210829577449,0.159
A427,-1.0,0.034
A427,-0.5228787452803376,0.007
A427,-3.853871964321762,0.892
A427,-3.3979400086720375,1.182
A427,-2.9208187539523753,0.909
A427,-2.431798275933005,0.72
A427,-1.958607314841775,0.541
A427,-1.4685210829577449,0.227
A427,-1.0,0.002
A427,-0.5228787452803376,0.026
CAOV3,-3.853871964321762,1.076
CAOV3,-3.3979400086720375,1.021
CAOV3,-2.9208187539523753,1.041
CAOV3,-2.431798275933005,1.085
CAOV3,-1.958607314841775,0.835
CAOV3,-1.4685210829577449,0.377
CAOV3,-1.0,0.119
CAOV3,-0.5228787452803376,0.039
CAOV3,-3.853871964321762,0.795
CAOV3,-3.3979400086720375,0.834
CAOV3,-2.9208187539523753,1.0
CAOV3,-2.431798275933005,0.803
CAOV3,-1.958607314841775,0.877
